route_id,service_id,trip_id,trip_headsign,shape_id,block_id
602,1723,2165753:546197:552022,Express - Innovation / Highway 15 via CFB,1566,552022
602,1724,2165753:546197:558943,Express - Innovation / Highway 15 via CFB,1566,558943
11,1701,2166986:546199:558894,Cataraqui Centre,1719,558894
15,1723,2164947:546200:552101,Cataraqui Centre,1730,552101
19,1701,2167140:546203:549235,Woodhaven,826,549235
501,1712,2164514:546207:551945,Express - Cataraqui Centre via Front/Bayridge,1506,551945
701,1708,2169023:546209:558925,Express - Cataraqui Centre via Downtown,1610,558925
501,1712,2164482:546212:549270,Express - Cataraqui Centre via Front/Bayridge,1506,549270
22,1701,2167537:546213:549355,A - First Canada,1438,549355
701,1708,2169035:546216:558925,Express - Cataraqui Centre via Downtown,1610,558925
701,1701,2166695:546220:558789,Express - Cataraqui Centre via Brock/Bath,1377,558789
701,1723,2165400:546221:553084,Express - Cataraqui Centre via Brock/Bath,1377,553084
701,1724,2165400:546221:558770,Express - Cataraqui Centre via Brock/Bath,1377,558770
701,1701,2166791:546223:558883,Express - Cataraqui Centre via Downtown,1610,558883
501,1701,2166426:546226:549341,Express - Downtown via Princess St,1117,549341
19,1708,2168331:546228:549316,Woodhaven,826,549316
502,1701,2166365:546231:549111,Express - Downtown via Bayridge/Front,1516,549111
4,1701,2167624:546232:549168,Downtown via Princess St,1169,549168
19,1712,2164529:546233:551998,Cataraqui Centre,974,551998
501,1712,2165161:546235:549104,Express - Cataraqui Centre via Front/Bayridge,1506,549104
15,1723,2164927:546239:552111,Centre 70 Park & Ride,1733,552111
22,1701,2167206:546242:551942,First Canada via MacCauley,1443,551942
601,1701,2167516:546244:549355,Express - Queen's/KGH via CFB Kingston,1358,549355
601,1708,2168951:546253:549294,Express - Queen's/KGH via CFB Kingston,1358,549294
15,1723,2164934:546255:552005,Centre 70 Park & Ride,1733,552005
701,1708,2168974:546259:558853,Express - Cataraqui Centre via Brock/Bath,1377,558853
19,1723,2164542:546267:553159,Cataraqui Centre,974,553159
19,1724,2164542:546267:558861,Cataraqui Centre,974,558861
702,1723,2165643:546271:553167,Express - King's Crossing via Division,1584,553167
702,1724,2165643:546271:558942,Express - King's Crossing via Division,1584,558942
701,1708,2168767:546272:558858,Express - Cataraqui Centre via Brock/Bath,1377,558858
602,1701,2167524:546274:549355,Express - Innovation / Highway 15 via CFB,1576,549355
801,1701,2166834:546275:558870,Express - Cataraqui Centre via Brock/Bath,1468,558870
602,1701,2167512:546276:549355,Express - Innovation / Highway 15 via CFB,1576,549355
801,1723,2165591:546279:553137,Express - Cataraqui Centre via Brock/Bath,1468,553137
801,1724,2165591:546279:558921,Express - Cataraqui Centre via Brock/Bath,1468,558921
601,1701,2167463:546280:549154,Express - Queen's/KGH via CFB Kingston,1358,549154
4,1708,2168547:546284:549131,Cataraqui Centre via Princess St,1499,549131
7,1701,2167283:546285:558916,Cataraqui Centre,1418,558916
802,1723,2165555:546286:553156,Express - Montreal Street Park & Ride,1312,553156
802,1724,2165555:546286:558940,Express - Montreal Street Park & Ride,1312,558940
501,1708,2168055:546287:549395,Express - Cataraqui Centre via Front/Bayridge,1506,549395
7,1723,2164987:546291:552101,Grant Timmins/Dalton via John Counter Blvd,1385,552101
7,1724,2164987:546291:558818,Grant Timmins/Dalton via John Counter Blvd,1385,558818
4,1708,2168428:546293:549233,Downtown via Princess St,1169,549233
4,1723,2165123:546296:553159,Downtown via Princess St,1169,553159
4,1724,2165123:546296:558861,Downtown via Princess St,1169,558861
502,1723,2164471:546303:553151,Express - Cataraqui Centre via Princess,1501,553151
502,1724,2164471:546303:558798,Express - Cataraqui Centre via Princess,1501,558798
4,1701,2167134:546305:549168,Cataraqui Centre via Princess St,1499,549168
701,1701,2166764:546311:558789,Express - Cataraqui Centre via Downtown,1610,558789
14,1723,2165105:546313:552005,Cataraqui North,1390,552005
14,1724,2165105:546313:558846,Cataraqui North,1390,558846
701,1723,2165599:546314:553156,Express - Cataraqui Centre via Downtown,1610,553156
701,1724,2165599:546314:558940,Express - Cataraqui Centre via Downtown,1610,558940
602,1701,2167500:546317:549355,Express - Innovation / Highway 15 via CFB,1576,549355
502,1708,2168401:546322:549131,Express - Downtown via Bayridge/Front,1516,549131
802,1708,2168783:546324:558872,Express - Montreal Street Park & Ride,1312,558872
501,1708,2168061:546332:549167,Express - Downtown via Princess St,1117,549167
4,1712,2165364:546337:553077,Cataraqui Centre via Princess St,1502,553077
10,1701,2167393:546338:549371,Amherstview,1362,549371
19,1701,2167219:546341:558800,Cataraqui Centre,1300,558800
19,1708,2168357:546346:549153,Woodhaven,826,549153
7,1701,2167267:546347:558797,Cataraqui Centre,1418,558797
502,1708,2168099:546348:549278,Express - Downtown via Bayridge/Front,1516,549278
22,1712,2165295:546357:551998,Innovation / Highway 15,1727,551998
801,1701,2167455:546358:558857,Express - Cataraqui Centre via Brock/Bath,1468,558857
6B,1708,2168491:546359:553171,B - Gardiners Centre,1419,553171
501,1712,2164870:546362:549274,Express - Downtown via Princess St,1117,549274
501,1712,2164433:546363:549274,Express - Cataraqui Centre via Front/Bayridge,1506,549274
702,1723,2165659:546365:553146,Express - King's Crossing via Division,1584,553146
702,1724,2165659:546365:558820,Express - King's Crossing via Division,1584,558820
602,1723,2165746:546367:552026,Express - Innovation / Highway 15 via CFB,1566,552026
602,1724,2165746:546367:558785,Express - Innovation / Highway 15 via CFB,1566,558785
501,1701,2166345:546368:549341,Express - Cataraqui Centre via Front/Bayridge,1506,549341
4,1723,2165357:546370:553168,Downtown via Princess St,1170,553168
4,1724,2165357:546370:558932,Downtown via Princess St,1170,558932
502,1701,2166397:546371:549116,Express - Downtown via Bayridge/Front,1516,549116
602,1723,2165777:546372:553066,A - Express - Innovation / Highway 15,1574,553066
602,1724,2165777:546372:558915,A - Express - Innovation / Highway 15,1574,558915
702,1701,2166800:546375:558883,Express - King's Crossing via Division,1584,558883
502,1723,2165180:546376:552026,Express - Downtown via Bayridge/Front,1516,552026
502,1724,2165180:546376:558785,Express - Downtown via Bayridge/Front,1516,558785
502,1701,2167612:546380:549235,Express - Downtown via Bayridge/Front,1516,549235
802,1701,2167453:546382:558870,Express - Montreal Street Park & Ride,1312,558870
15,1723,2164948:546386:552035,Cataraqui Centre,1730,552035
701,1701,2167560:546387:558855,Express - Cataraqui Centre via Brock/Bath,1377,558855
601,1712,2165774:546389:553068,Express - Queen's/KGH via CFB Kingston,1586,553068
501,1708,2168083:546390:549167,Express - Cataraqui Centre via Front/Bayridge,1506,549167
